code_commune,population,nb_medecins,prix_moyen,densite_medecins,tension_medicale,prix_par_medecin,score_tension,categorie
44001,2092,1.0,114389.51803738315,0.4780114722753346,2092.0,114389.51803738315,0.6476387262518443,tension
44002,4263,4.0,326620.92415458936,0.9383063570255687,1065.75,81655.23103864734,-0.5411165828496767,correct
44003,11769,13.0,392454.0768527919,1.1045968221599116,905.3076923076923,30188.775142522452,-0.7269647144684155,correct
44005,7400,4.0,126177.74105802047,0.5405405405405406,1850.0,31544.43526450512,0.3673183512919728,tension
44006,1928,2.0,176345.47036585366,1.037344398340249,964.0,88172.73518292683,-0.6589785586850772,correct
44007,2515,,110925.04548286604,,,,,inconnu
44009,9832,10.0,496040.43115384615,1.0170870626525632,983.2,49604.043115384615,-0.6367382644733849,correct
44010,2894,,357533.9848510638,,,,,inconnu
44012,3568,3.0,286442.2394676806,0.8408071748878925,1189.3333333333333,95480.74648922688,-0.39796399467285537,correct
44013,3359,1.0,128116.7703517588,0.29770765108663294,3359.0,128116.7703517588,2.115266474492163,désert médical
44014,4038,5.0,649873.1787296417,1.2382367508667658,807.6,129974.63574592835,-0.8401442886178205,correct
44015,10527,10.0,142313.83346695558,0.9499382540134892,1052.7,14231.383346695558,-0.5562330328216862,correct
44016,1131,,129224.62043010752,,,,,inconnu
44018,8419,8.0,332371.17090322584,0.9502316189571207,1052.375,41546.39636290323,-0.5566094961351654,correct
44019,1112,,168412.8962264151,,,,,inconnu
44020,20893,16.0,382119.55504360463,0.7658067295266356,1305.8125,23882.47219022529,-0.2630405084124695,correct
44021,5089,3.0,272743.0935434783,0.5895067793279622,1696.3333333333333,90914.36451449276,0.1893187743546439,tension
44022,2865,6.0,570826.633974359,2.0942408376963355,477.5,95137.77232905984,-1.2225151802469676,correct
44023,3112,2.0,143069.5056585366,0.6426735218508997,1556.0,71534.7528292683,0.02676384617543477,tension
44024,2815,3.0,141007.18329896906,1.0657193605683837,938.3333333333334,47002.394432989684,-0.6887095075444575,correct
44025,4098,4.0,292378.80443113775,0.9760858955588092,1024.5,73094.70110778444,-0.5888984649451093,correct
44026,21124,16.0,470907.33645833336,0.7574323044877864,1320.25,29431.708528645835,-0.2463168496790681,correct
44027,2644,5.0,129199.18434108526,1.8910741301059002,528.8,25839.83686821705,-1.1630918941501023,correct
44028,4116,2.0,168389.42482758622,0.48590864917395526,2058.0,84194.71241379311,0.6082548719186391,tension
44029,7275,8.0,153555.1841791045,1.099656357388316,909.375,19194.39802238806,-0.7222533540659986,correct
44030,4519,1.0,136658.80052770447,0.2212878955521133,4519.0,136658.80052770447,3.4589509164485714,désert médical
44031,826,,91606.27906976744,,,,,inconnu
44032,3515,2.0,166801.43818181817,0.5689900426742532,1757.5,83400.71909090909,0.2601711005325178,tension
44033,3312,3.0,271855.2166917293,0.9057971014492754,1104.0,90618.40556390978,-0.496809746724821,correct
44035,21056,19.0,376176.7229477612,0.9023556231003039,1108.2105263157894,19798.774891987432,-0.491932489222257,correct
44036,12662,13.0,170620.94424496643,1.026694045174538,974.0,13124.688018843572,-0.6473950721164875,correct
44037,3350,2.0,187340.1975925926,0.5970149253731344,1675.0,93670.0987962963,0.16460733634165253,tension
44038,3074,1.0,176161.79842323653,0.3253090435914119,3074.0,176161.79842323653,1.7851371072873556,désert médical
44039,1188,1.0,104155.84583333334,0.8417508417508417,1188.0,104155.84583333334,-0.39950845954866726,correct
44041,6449,4.0,201031.31646666667,0.6202512017367033,1612.25,50257.82911666667,0.09192095812375199,tension
44043,7737,8.0,748942.7289527027,1.0339925035543494,967.125,93617.84111908784,-0.655358719132393,correct
44044,1097,,129206.61530864198,,,,,inconnu
44045,4003,3.0,226105.10330357144,0.7494379215588309,1334.3333333333333,75368.36776785714,-0.2300034394283043,correct
44046,2674,3.0,247971.6852830189,1.1219147344801794,891.3333333333334,82657.22842767296,-0.7431518944168292,correct
44047,23808,16.0,277781.5363673058,0.6720430107526882,1488.0,17361.34602295661,-0.05200386249097539,correct
44048,2578,3.0,86175.034875,1.1636927851047323,859.3333333333334,28725.011625,-0.7802190514363163,correct
44049,4138,2.0,350696.7046866485,0.4833252779120348,2069.0,175348.35234332425,0.6209967071440878,tension
44050,3047,1.0,160827.5992857143,0.3281916639317361,3047.0,160827.5992857143,1.7538616935521634,désert médical
44051,3915,4.0,174839.85895833335,1.0217113665389528,978.75,43709.96473958334,-0.6418929159964073,correct
44052,8201,3.0,237053.13086206897,0.3658090476771126,2733.6666666666665,79017.71028735633,1.3909124477363517,tension
44053,2327,1.0,204030.63129032255,0.42973785990545765,2327.0,204030.63129032255,0.9198506606137029,tension
44054,3122,1.0,130633.08274881516,0.32030749519538754,3122.0,130633.08274881516,1.8407378428165864,désert médical
44055,17164,21.0,517621.7525490196,1.223491027732463,817.3333333333334,24648.654883286647,-0.8288696950243932,correct
44056,3915,2.0,148427.17502183406,0.5108556832694764,1957.5,74213.58751091703,0.4918408319043124,tension
44057,2313,1.0,131847.5123404255,0.4323389537397319,2313.0,131847.5123404255,0.9036337794176773,tension
44058,511,,72504.78666666667,,,,,inconnu
44061,3345,4.0,125559.51550660792,1.195814648729447,836.25,31389.87887665198,-0.806957599598811,correct
44062,1911,1.0,159027.59921568626,0.5232862375719519,1911.0,159027.59921568626,0.43797761936037016,tension
44063,3880,5.0,175385.73401785715,1.288659793814433,776.0,35077.14680357143,-0.8767481061745641,correct
44064,5447,3.0,83674.80753424657,0.5507618872774004,1815.6666666666667,27891.602511415524,0.32754838073981485,tension
44065,790,,80747.76813186814,,,,,inconnu
44066,7023,7.0,239020.27313761468,0.9967250462765201,1003.2857142857143,34145.753305373524,-0.6134720043084746,correct
44067,5347,2.0,130216.72093495936,0.37404151860856555,2673.5,65108.36046747968,1.321218470215337,tension
44068,3640,2.0,120591.5394,0.5494505494505495,1820.0,60295.7697,0.33256789158620365,tension
44069,17259,27.0,380233.23748991935,1.564401181992004,639.2222222222222,14082.712499626643,-1.0351844613516081,correct
44070,4850,4.0,236351.78164948453,0.8247422680412372,1212.5,59087.94541237113,-0.37112891745562243,correct
44071,6148,7.0,384258.1687356322,1.1385816525699415,878.2857142857143,54894.02410509031,-0.7582655864158463,correct
44072,7302,5.0,185616.69910662825,0.6847439057792385,1460.4,37123.33982132565,-0.08397428542028294,correct
44073,6647,9.0,225467.25905660377,1.353994283135249,738.5555555555555,25051.917672955973,-0.9201218281036168,correct
44074,4221,9.0,209204.89880952385,2.1321961620469083,469.0,23244.988756613762,-1.2323611438302688,correct
44075,1863,1.0,91361.176,0.5367686527106817,1863.0,91361.176,0.38237688383113944,tension
44076,1402,,436878.1454411765,,,,,inconnu
44077,2786,1.0,133916.58444444445,0.35893754486719315,2786.0,133916.58444444445,1.4515326941119715,tension
44078,331,,85793.03448275862,,,,,inconnu
44079,3580,2.0,120508.84150943396,0.5586592178770949,1790.0,60254.42075471698,0.2978174318804344,tension
44080,786,,138928.5901075269,,,,,inconnu
44081,4886,6.0,364359.793499006,1.2279983626688498,814.3333333333334,60726.632249834336,-0.8323447409949701,correct
44082,5701,1.0,187517.98627118644,0.17540782318891424,5701.0,187517.98627118644,4.828119028855878,désert médical
44083,2522,,148390.00987654322,,,,,inconnu
44084,8747,14.0,129124.8931661442,1.6005487595747112,624.7857142857143,9223.206654724587,-1.0519069709295958,correct
44085,981,,100588.0948275862,,,,,inconnu
44086,1087,,861806.9109090909,,,,,inconnu
44087,7896,5.0,168813.79681399633,0.6332320162107397,1579.2,33762.75936279927,0.05363753501456299,tension
44088,3124,1.0,72447.84118686868,0.3201024327784891,3124.0,72447.84118686868,1.8430545401303042,désert médical
44089,3743,2.0,165083.2404968944,0.5343307507347048,1871.5,82541.6202484472,0.39222284741444075,tension
44090,1601,,90204.69414634148,,,,,inconnu
44091,1563,1.0,126891.41237113402,0.6397952655150352,1563.0,126891.41237113402,0.03487228677344758,tension
44092,678,,95178.36918367348,,,,,inconnu
44094,3461,9.0,214253.1179865772,2.600404507367813,384.55555555555554,23805.90199850858,-1.330177252631693,correct
