GEO,GEO_OBJECT,FACILITY_DOM,FACILITY_SDOM,FACILITY_TYPE,BPE_MEASURE,TIME_PERIOD,OBS_VALUE
44021,COM,D,D2,D265,FACILITIES,2024,3
44018,COM,D,D2,D265,FACILITIES,2024,8
44028,COM,D,D2,D265,FACILITIES,2024,2
44020,COM,D,D2,D265,FACILITIES,2024,16
44198,COM,D,D2,D265,FACILITIES,2024,9
44041,COM,D,D2,D265,FACILITIES,2024,4
44009,COM,D,D2,D265,FACILITIES,2024,10
44128,COM,D,D2,D265,FACILITIES,2024,4
44103,COM,D,D2,D265,FACILITIES,2024,2
44046,COM,D,D2,D265,FACILITIES,2024,3
44102,COM,D,D2,D265,FACILITIES,2024,1
44110,COM,D,D2,D265,FACILITIES,2024,13
44005,COM,D,D2,D265,FACILITIES,2024,4
44012,COM,D,D2,D265,FACILITIES,2024,3
44039,COM,D,D2,D265,FACILITIES,2024,1
44204,COM,D,D2,D265,FACILITIES,2024,15
44190,COM,D,D2,D265,FACILITIES,2024,23
44088,COM,D,D2,D265,FACILITIES,2024,1
44213,COM,D,D2,D265,FACILITIES,2024,3
44033,COM,D,D2,D265,FACILITIES,2024,3
44179,COM,D,D2,D265,FACILITIES,2024,3
44195,COM,D,D2,D265,FACILITIES,2024,11
44049,COM,D,D2,D265,FACILITIES,2024,2
44161,COM,D,D2,D265,FACILITIES,2024,3
44087,COM,D,D2,D265,FACILITIES,2024,5
44097,COM,D,D2,D265,FACILITIES,2024,1
44073,COM,D,D2,D265,FACILITIES,2024,9
44064,COM,D,D2,D265,FACILITIES,2024,3
44215,COM,D,D2,D265,FACILITIES,2024,31
44166,COM,D,D2,D265,FACILITIES,2024,5
44127,COM,D,D2,D265,FACILITIES,2024,2
