REG,Région,DEP,CODARR,CODCAN,CODCOM,COM,Commune,PMUN,PCAP,PTOT,code_departement
52,Pays de la Loire,44,3,03,89,44089,Malville,3689,54,3743,44
52,Pays de la Loire,44,2,10,90,44090,La Marne,1578,23,1601,44
52,Pays de la Loire,44,5,08,91,44091,Marsac-sur-Don,1529,34,1563,44
52,Pays de la Loire,44,5,08,92,44092,Massérac,670,8,678,44
52,Pays de la Loire,44,2,04,94,44094,Mauves-sur-Loire,3393,68,3461,44
52,Pays de la Loire,44,5,06,95,44095,La Meilleraye-de-Bretagne,1587,27,1614,44
52,Pays de la Loire,44,5,01,96,44096,Mésanger,4681,94,4775,44
52,Pays de la Loire,44,3,09,97,44097,Mesquer,2156,50,2206,44
52,Pays de la Loire,44,3,19,98,44098,Missillac,5619,98,5717,44
52,Pays de la Loire,44,5,06,99,44099,Moisdon-la-Rivière,1964,60,2024,44
52,Pays de la Loire,44,2,07,100,44100,Monnières,2341,58,2399,44
52,Pays de la Loire,44,2,23,101,44101,La Montagne,6523,134,6657,44
52,Pays de la Loire,44,2,28,102,44102,Montbert,3346,72,3418,44
52,Pays de la Loire,44,3,27,103,44103,Montoir-de-Bretagne,7289,96,7385,44
52,Pays de la Loire,44,5,01,104,44104,Montrelais,843,7,850,44
52,Pays de la Loire,44,5,08,105,44105,Mouais,356,7,363,44
52,Pays de la Loire,44,3,20,106,44106,Les Moutiers-en-Retz,1846,20,1866,44
52,Pays de la Loire,44,5,18,107,44107,Mouzeil,2004,32,2036,44
52,Pays de la Loire,44,2,30,108,44108,Mouzillon,2903,50,2953,44
52,Pays de la Loire,44,2,,109,44109,Nantes,325070,4739,329809,44
52,Pays de la Loire,44,5,18,110,44110,Nort-sur-Erdre,9448,191,9639,44
52,Pays de la Loire,44,5,18,111,44111,Notre-Dame-des-Landes,2335,39,2374,44
52,Pays de la Loire,44,5,06,112,44112,Noyal-sur-Brutz,579,11,590,44
52,Pays de la Loire,44,5,08,113,44113,Nozay,4280,89,4369,44
52,Pays de la Loire,44,2,25,114,44114,Orvault,28341,608,28949,44
52,Pays de la Loire,44,5,01,115,44115,Oudon,3915,80,3995,44
52,Pays de la Loire,44,3,23,116,44116,Paimbœuf,3030,99,3129,44
52,Pays de la Loire,44,2,30,117,44117,Le Pallet,3374,57,3431,44
52,Pays de la Loire,44,5,01,118,44118,Pannecé,1454,27,1481,44
52,Pays de la Loire,44,2,10,119,44119,Paulx,2042,29,2071,44
52,Pays de la Loire,44,2,23,120,44120,Le Pellerin,5335,220,5555,44
52,Pays de la Loire,44,5,06,121,44121,Petit-Auverné,437,4,441,44
52,Pays de la Loire,44,5,18,122,44122,Petit-Mars,3865,71,3936,44
52,Pays de la Loire,44,5,08,123,44123,Pierric,1011,15,1026,44
52,Pays de la Loire,44,5,01,124,44124,Le Pin,829,12,841,44
52,Pays de la Loire,44,3,09,125,44125,Piriac-sur-Mer,2663,62,2725,44
52,Pays de la Loire,44,3,20,126,44126,La Plaine-sur-Mer,4617,75,4692,44
52,Pays de la Loire,44,2,07,127,44127,La Planche,2802,42,2844,44
52,Pays de la Loire,44,5,19,128,44128,Plessé,5281,104,5385,44
52,Pays de la Loire,44,3,19,129,44129,Pontchâteau,11249,308,11557,44
52,Pays de la Loire,44,2,28,130,44130,Pont-Saint-Martin,6942,85,7027,44
52,Pays de la Loire,44,3,20,131,44131,Pornic,18382,486,18868,44
52,Pays de la Loire,44,3,02,132,44132,Pornichet,12530,307,12837,44
52,Pays de la Loire,44,2,10,133,44133,Port-Saint-Père,3046,53,3099,44
52,Pays de la Loire,44,5,01,134,44134,Pouillé-les-Côteaux,1050,21,1071,44
